Id,Failure
131394910,1
131391329,1
111345779,1
131382288,1
131379697,1
131398732,1
131388650,0
131387163,0
131385729,1
131383362,1
131382373,1
131388818,1
131386928,1
131397149,0
131391208,1
111364511,1
131384400,1
131387359,1
111354356,1
131394554,1
131395112,1
131389934,1
131395689,0
131394564,0
131391567,0
111364508,1
131398534,0
131394268,0
131386049,1
131380625,1
131385577,1
131394971,0
131392212,0
131384353,1
131389217,1
131397511,0
131380193,1
131380773,0
131390201,1
131392914,0
111354349,1
131391196,1
131396394,0
131386453,1
131384817,1
131393437,1
111364514,1
131391552,1
131384199,1
131387153,0
131389755,0
131394308,1
131387230,1
111345870,1
131394206,1
111345876,1
131382400,1
131396240,0
131387358,0
131380204,1
131386641,1
131383672,0
131387864,1
131385376,1
131388888,1
131392103,0
131380729,0
131385410,1
131382422,1
131392411,1
131393763,1
131380152,0
131381654,1
131384283,1
131384336,1
111335836,1
131406400,1
131392865,1
111335855,1
131385333,1
131393620,1
131385939,0
131389619,1
131380761,0
131390747,0
131388989,1
131379861,1
131395528,1
131387712,0
111335849,1
131380228,0
131387044,1
131392352,1
131390655,1
131386768,1
131387059,1
131403566,1
131380225,0
131385760,1
131383500,0
131383824,1
131403899,1
131392262,1
131402827,1
131384357,1
131388918,1
131394563,1
131389379,1
131381662,0
131394540,1
131386932,1
131385313,1
131385189,1
131387640,1
131383556,0
111335728,1
131396912,1
131388821,1
131381659,1
131392220,1
131386377,1
131382200,1
131385654,1
111345857,1
131384963,0
131384081,1
131385536,1
131399263,1
131392032,1
131385517,1
131385570,1
131387746,1
131385465,1
131388212,1
131392813,1
131380758,0
131389646,1
131385323,1
131380125,1
131383547,1
131398567,0
111335853,1
111354363,1
131380391,1
131388191,1
131403871,1
131386158,1
131388042,1
131393401,1
131381710,0
131382394,1
131384409,1
131380798,0
131403859,1
131392054,0
131380110,1
111364530,1
131384788,1
131379380,1
131384893,1
131384929,1
131388118,1
131387616,1
131394765,1
131380334,1
131383831,0
111345852,1
131382883,1
131399761,0
131382829,1
131398208,0
131380595,1
131393469,1
131392074,1
131384436,1
131380478,0
131394143,1
131389870,1
131385951,1
131398623,0
131389229,0
131390581,0
111354316,1
131384671,1
131384435,1
131388854,0
131379386,1
131395818,0
131381630,1
131383812,1
111335856,1
131393515,1
131380253,1
111364500,1
131385105,1
111335727,1
131385367,1
131380647,1
131386432,0
131385715,1
131402053,0
131395111,1
131387378,0
111354310,1
131393369,1
131382898,1
131386138,1
131388616,1
131391330,1
131390333,1
131384428,1
131392165,1
131395150,0
131402399,1
131382434,1
131380870,1
131386190,1
131395362,0
131380381,0
111335852,1
131414513,1
131388995,1
131388313,1
131402473,1
131392001,1
131394757,0
131380790,0
131391454,0
131391042,1
131388691,1
131383407,0
131393652,1
131387233,1
131385961,1
131384587,1
131387601,1
131380111,1
131384717,1
111354350,1
111335839,1
131398088,0
131384941,1
131403893,1
131393415,0
131380638,1
131383639,1
131403037,0
131381529,1
131397431,0
131383689,1
131391266,1
131387029,1
131383358,1
131391419,1
131387353,1
131386758,1
131387450,1
131389849,0
131380224,1
131406829,0
131387485,1
131387436,1
131384768,0
131379370,1
131389165,1
131403300,1
131386627,1
131393819,0
131403784,1
131393158,1
131382268,1
131395231,1
131384429,0
111345864,1
131386823,1
131394587,1
131383609,1
131405656,1
111335857,1
131394496,1
131395108,1
131388531,0
131381554,1
131384366,0
111335876,1
131382595,1
131391214,0
131403561,1
131384848,1
111364552,1
131385101,1
131384025,1
111345892,1
131396649,1
131391154,1
131383780,1
131390971,0
131387504,1
131383458,1
111354362,1
131386848,1
111335895,1
131395998,0
111354315,1
131386892,0
131395472,1
111364573,1
131396099,1
131386956,0
131384745,1
131387639,1
131390753,1
131401584,0
131379919,1
111354290,1
131387223,1
131384930,1
131394922,1
131389784,1
131383972,1
131390110,1
131386443,1
131398519,1
131382752,1
131392954,1
111354295,1
131383367,0
131380192,0
111335846,1
111335755,1
131379995,1
131403134,1
131382168,1
131394250,1
131380670,0
131385270,1
131392846,1
131403204,0
131395118,1
111354291,1
131384051,1
131394926,0
131388674,0
131392826,1
131382789,1
131380006,0
111364521,1
131386666,1
131382766,1
111345834,1
131392489,1
131386557,1
131394015,1
131380211,1
131394887,0
111354312,1
111335760,1
131388663,0
131382833,1
131380574,1
111354360,1
131383428,1
131386109,1
131380957,1
131382385,1
131393573,1
131391827,1
131396031,0
131388126,1
131382840,1
131385370,1
131380862,1
131380307,1
131385921,1
131386483,1
131391945,1
131382812,1
131389391,1
131384084,1
131395878,1
131393480,1
131394345,1
131402159,1
131382457,1
131388085,1
131391373,1
111354365,1
131382471,0
111364527,1
131386312,0
131379685,1
131402868,1
111335750,1
131382496,1
131393221,0
131388569,1
131384291,1
131387950,1
131388497,1
131385491,1
131386308,1
131388119,0
131395752,0
131391028,1
131386811,0
131388868,0
131381054,1
111335757,1
131401015,0
131386580,1
131393756,0
131394556,1
131397460,0
131380880,1
131382204,1
131402985,1
131404568,1
131396834,1
131382741,1
131388703,0
131387782,1
111364565,1
111364554,1
131391058,1
131402403,1
131385687,1
131389495,1
131392311,1
131386465,1
131403299,1
131384594,1
131382424,1
131379303,1
131385879,1
131385107,1
131396183,0
131388144,0
131389376,1
131395490,0
131384816,1
131386505,0
131380299,1
131390628,1
131399023,0
131395130,1
131402744,1
131384676,1
131403653,1
131387407,1
131395195,0
131382172,1
131384136,1
131386125,1
131395908,0
131380457,1
131397307,0
131386325,1
131387659,0
131388157,1
131383470,0
131393748,1
131388351,1
111354298,1
131388182,1
131382557,1
131386882,1
131380847,1
131382540,1
131396283,1
131393965,0
131380262,1
131398323,0
131385656,1
111335838,1
131402155,1
131395533,0
131397936,0
131389554,1
131381061,1
131389152,1
131384646,0
131390697,1
131392718,1
131398925,0
131399305,0
131379677,1
131388639,1
131402800,1
131394209,1
131391097,1
111395038,1
131385478,1
131384579,1
131391235,1
131392015,0
131395685,0
131389248,0
131389756,1
131386515,1
131380396,1
111345851,1
131384660,1
111335840,1
131387205,1
131391975,0
131392223,1
131382464,1
111364559,1
131394903,1
131393339,1
131388851,1
131390015,1
131408425,1
131382828,1
131383837,1
111335830,1
131383559,1
131384073,1
131381678,0
131397908,0
131382381,1
131386220,1
131380877,1
131387403,1
111374724,1
131385532,0
131388770,1
131396262,1
111354357,1
131382420,1
131382879,1
131384962,1
131391215,1
131386363,1
131382212,1
131400015,0
131392866,1
131381865,1
131379785,1
131387060,1
131393851,1
131385712,1
131401383,1
131395646,0
131383786,1
131384386,1
131397067,0
111354293,1
131387930,1
131394347,1
131379415,1
131382518,1
131398945,0
131389946,1
131384532,1
131383457,1
131389399,1
131403642,0
131394871,0
131382486,1
131394638,1
131394987,0
131386338,1
131386489,1
131392802,1
131380490,1
131383525,1
131386795,0
131390323,1
131387467,1
131393247,1
131397571,0
131385998,1
131391927,1
111395010,1
131393585,1
131389521,0
131391207,0
111354335,1
131385991,1
131386829,1
131386311,1
131381696,0
131382826,0
131386860,1
131384340,1
131380335,1
131382466,1
131392132,0
131403326,1
131383315,1
131385995,1
131386077,1
131387463,1
131394452,1
131394148,1
131380626,1
131386141,1
111364517,1
131384010,1
131390473,1
131382608,1
131385648,1
131386584,1
131382153,0
131380074,1
131380033,1
131382241,1
131381677,0
111354313,1
131388386,1
131405966,1
131394957,1
131394959,0
131388407,1
131394218,1
131384210,1
131383930,1
131390057,1
131390142,1
131392836,1
111354307,1
131383858,1
131380609,1
111354323,1
131382332,1
131393794,1
131391611,0
131396495,1
131388120,1
131383953,1
131381673,0
131386649,1
131390173,0
131383962,1
131385929,1
131403993,1
131380698,1
131384778,0
131389962,0
131381831,1
131390978,1
131409969,1
131380290,1
131385587,1
131392073,1
131384804,1
131385126,1
111345863,1
131405236,0
131401973,0
131386293,0
131387166,0
131384295,1
131384126,1
111354341,1
131390755,1
131402456,1
131382527,1
131388367,1
111354296,1
131386717,1
131392848,1
131385739,1
131379406,1
131385876,1
131403577,1
131394291,1
131379397,1
131382514,1
131395882,1
131380105,1
111335820,1
131390567,1
131405034,1
131391332,0
131385516,0
131396976,1
131387922,1
131384975,1
131395579,0
131389442,1
131389026,1
131391452,1
131388345,1
131394661,1
131387242,1
131395559,1
131389672,1
131382801,1
131382910,1
131389699,1
131391348,1
131390805,1
131403888,1
131399188,1
131403892,1
111335816,1
131393189,1
131383985,1
131393200,0
131379704,0
131385006,1
131393531,1
131388192,1
131380112,1
131392581,1
131388110,1
131389087,1
111335897,1
131380840,0
111335826,1
131381584,1
131380818,1
131384746,1
131384108,1
131400864,0
131402072,1
131385157,1
131392482,0
131402953,1
131382751,1
131395373,1
111335832,1
131388451,0
131385177,1
131412394,1
131386680,1
131392695,1
131392534,1
131388753,1
131391932,1
131392973,0
131403423,1
111335842,1
131380447,0
131392872,1
131385040,1
131386433,1
131393755,1
131402157,1
131386840,1
131384057,1
131387672,1
131393348,1
131386518,0
131384496,1
111345827,1
131379416,1
131389071,1
131392932,0
131384301,0
131389244,1
131385127,1
131383415,1
131379487,1
131379931,1
131389630,1
131392384,1
131394591,1
131395383,0
131382220,1
131382340,1
131384195,1
131390295,1
131399170,0
131387886,1
131389904,1
131381811,1
111354334,1
131391308,0
131390199,1
131403969,1
131388757,0
131399692,1
131403327,1
131398231,0
131388453,1
131393281,1
131386581,1
131393148,1
131380026,1
131382728,1
131388526,1
131381060,1
131394895,1
131380697,1
111345889,1
111354299,1
131389518,1
131384425,1
131391767,1